Species	Symbol	Ensembl	Family	Protein	Entrez ID
Rattus_norvegicus	Zbtb2	ENSRNOG00000019544	ZBTB	ENSRNOP00000026433;ENSRNOP00000026433;	308126
Rattus_norvegicus	Nr1i3	ENSRNOG00000003260	THR-like	ENSRNOP00000048836;ENSRNOP00000072813;	65035
Rattus_norvegicus	Ovol1	ENSRNOG00000020669	zf-C2H2	ENSRNOP00000028081;ENSRNOP00000071100;	309164
Rattus_norvegicus	Tbx3	ENSRNOG00000008706	T-box	ENSRNOP00000074567;ENSRNOP00000011552;	353305
Rattus_norvegicus	Mzf1	ENSRNOG00000027550	zf-C2H2	ENSRNOP00000055361;	361508
Rattus_norvegicus	Nkx6-3	ENSRNOG00000018147	Homeobox	ENSRNOP00000024532;	685102
Rattus_norvegicus	Tulp1	ENSRNOG00000000507	Tub	ENSRNOP00000063884;	309900
Rattus_norvegicus	Zfp518b	ENSRNOG00000028534	zf-C2H2	ENSRNOP00000038432;	498390
Rattus_norvegicus	Pax3	ENSRNOG00000013670	PAX	ENSRNOP00000018652;	114502
Rattus_norvegicus	Zfp54	ENSRNOG00000051578	zf-C2H2	ENSRNOP00000072743;	308232
Rattus_norvegicus	Zfp575	ENSRNOG00000024065	zf-C2H2	ENSRNOP00000038479;	308430
Rattus_norvegicus	Gmeb2	ENSRNOG00000013339	SAND	ENSRNOP00000049928;ENSRNOP00000018237;	83635
Rattus_norvegicus	Setdb1	ENSRNOG00000021143	MBD	ENSRNOP00000028709;ENSRNOP00000073356;	689883
Rattus_norvegicus	Zfp951	ENSRNOG00000037421	zf-C2H2	ENSRNOP00000076207;ENSRNOP00000045489;ENSRNOP00000076080;	102554913
Rattus_norvegicus	Batf	ENSRNOG00000008588	TF_bZIP	ENSRNOP00000011563;	299206
Rattus_norvegicus	AABR07002774.4	ENSRNOG00000050995	zf-C2H2	ENSRNOP00000046702;	-
Rattus_norvegicus	Pitx2	ENSRNOG00000010681	Homeobox	ENSRNOP00000046259;ENSRNOP00000043402;	54284
Rattus_norvegicus	Sp5	ENSRNOG00000054086	zf-C2H2	ENSRNOP00000069042;	296510
Rattus_norvegicus	AABR07002870.1	ENSRNOG00000048116	zf-C2H2	ENSRNOP00000065269;ENSRNOP00000038232;	-
Rattus_norvegicus	Grhl3	ENSRNOG00000029427	CP2	ENSRNOP00000061035;	298555
Rattus_norvegicus	Hoxa11	ENSRNOG00000059870	Homeobox	ENSRNOP00000010256;	100909443
Rattus_norvegicus	Zfp57	ENSRNOG00000022730	zf-C2H2	ENSRNOP00000011704;	361783
Rattus_norvegicus	Olig3	ENSRNOG00000012057	bHLH	ENSRNOP00000016048;	293012
Rattus_norvegicus	Osr1	ENSRNOG00000004210	zf-C2H2	ENSRNOP00000005666;	298878
Rattus_norvegicus	Nr2f6	ENSRNOG00000016892	RXR-like	ENSRNOP00000022898;	245980
Rattus_norvegicus	Zfp367	ENSRNOG00000027234	zf-C2H2	ENSRNOP00000030325;	306695
Rattus_norvegicus	Foxd2	ENSRNOG00000007759	Fork_head	ENSRNOP00000053990;	313504
Rattus_norvegicus	Myb	ENSRNOG00000055858	MYB	ENSRNOP00000069389;ENSRNOP00000072163;	498982
Rattus_norvegicus	Grhl1	ENSRNOG00000054989	CP2	ENSRNOP00000068887;	-
Rattus_norvegicus	Foxa1	ENSRNOG00000009284	Fork_head	ENSRNOP00000009940;	-
Rattus_norvegicus	AABR07040480.1	ENSRNOG00000057407	HMG	ENSRNOP00000069546;	-
Rattus_norvegicus	Bhlha15	ENSRNOG00000025164	bHLH	ENSRNOP00000035219;	25334
Rattus_norvegicus	Foxr1	ENSRNOG00000029089	Fork_head	ENSRNOP00000050539;	315601
Rattus_norvegicus	Zbtb17	ENSRNOG00000010436	ZBTB	ENSRNOP00000014399;ENSRNOP00000014399;ENSRNOP00000071596;	313666
Rattus_norvegicus	Zkscan8	ENSRNOG00000053635	zf-C2H2	ENSRNOP00000068853;	306974
Rattus_norvegicus	Zfp867	ENSRNOG00000022431	zf-C2H2	ENSRNOP00000030432;	100125361
Rattus_norvegicus	Glmp	ENSRNOG00000019281	NCU-G1	ENSRNOP00000026152;	295231
Rattus_norvegicus	Nr1h2	ENSRNOG00000019812	THR-like	ENSRNOP00000026862;	58851
Rattus_norvegicus	Creb3l4	ENSRNOG00000023493	TF_bZIP	ENSRNOP00000033353;	310616
Rattus_norvegicus	Atf1	ENSRNOG00000061088	TF_bZIP	ENSRNOP00000073278;ENSRNOP00000073249;	315305
Rattus_norvegicus	Atf4	ENSRNOG00000017801	TF_bZIP	ENSRNOP00000060302;	79255
Rattus_norvegicus	Tox3	ENSRNOG00000028649	HMG	ENSRNOP00000034957;	291908
Rattus_norvegicus	LOC100362783	ENSRNOG00000024616	TSC22	ENSRNOP00000056350;	102550456
Rattus_norvegicus	Klf17	ENSRNOG00000019479	zf-C2H2	ENSRNOP00000026344;	298449
Rattus_norvegicus	Hoxa9	ENSRNOG00000061871	Homeobox	ENSRNOP00000074975;	297099
Rattus_norvegicus	Pdx1	ENSRNOG00000046458	Homeobox	ENSRNOP00000066935;	29535
Rattus_norvegicus	Scrt2	ENSRNOG00000005148	zf-C2H2	ENSRNOP00000006833;	366229
Rattus_norvegicus	Tead1	ENSRNOG00000015488	TEA	ENSRNOP00000021020;ENSRNOP00000072311;	361630
Rattus_norvegicus	LOC103690166	ENSRNOG00000055496	zf-C2H2	ENSRNOP00000070013;	103690166
Rattus_norvegicus	Hlx	ENSRNOG00000002309	Homeobox	ENSRNOP00000003155;	364069
Rattus_norvegicus	AABR07067274.1	ENSRNOG00000038721	HMG	ENSRNOP00000047552;	-
Rattus_norvegicus	Dlx5	ENSRNOG00000010905	Homeobox	ENSRNOP00000014946;	25431
Rattus_norvegicus	Zfp13	ENSRNOG00000003455	zf-C2H2	ENSRNOP00000004589;	287095
