#Gene_ID	Gene_symbol	description
ENSRNOG00000055858	Myb	MYB proto-oncogene%2C transcription factor [Source:RGD Symbol%3BAcc:1560020]
ENSRNOG00000014531	Hbs1l	HBS1-like translational GTPase [Source:RGD Symbol%3BAcc:1308509]
ENSRNOG00000014907	Aldh8a1	aldehyde dehydrogenase 8 family%2C member A1 [Source:RGD Symbol%3BAcc:1590218]
ENSRNOG00000052464	AABR07000533.1	--
ENSRNOG00000058612	AABR07000533.2	--
ENSRNOG00000048762	AABR07000534.1	--
ENSRNOG00000058363	AABR07000534.2	--
ENSRNOG00000014979	Themis	thymocyte selection associated [Source:RGD Symbol%3BAcc:1560849]
ENSRNOG00000055971	AABR07000544.1	--
ENSRNOG00000047605	Ptprk	protein tyrosine phosphatase%2C receptor type%2C K [Source:RGD Symbol%3BAcc:619706]
ENSRNOG00000046617	LOC103690149	jouberin-like [Source:RGD Symbol%3BAcc:9410822]
ENSRNOG00000047754	AABR07000574.1	--
ENSRNOG00000028519	AABR07000581.1	--
ENSRNOG00000011134	Lama2	laminin subunit alpha 2 [Source:RGD Symbol%3BAcc:1308889]
ENSRNOG00000046438	AABR07000583.1	--
ENSRNOG00000057281	AABR07000583.2	--
ENSRNOG00000058772	AABR07000587.1	--
ENSRNOG00000011245	Arhgap18	Rho GTPase activating protein 18 [Source:RGD Symbol%3BAcc:1305053]
ENSRNOG00000030796	AABR07000595.1	--
ENSRNOG00000051380	AABR07000611.1	--
ENSRNOG00000011720	L3mbtl3	l(3)mbt-like 3 (Drosophila) [Source:RGD Symbol%3BAcc:1305474]
ENSRNOG00000033517	LOC100360791	tumor protein%2C translationally-controlled 1 [Source:RGD Symbol%3BAcc:2321467]
ENSRNOG00000039955	Samd3	sterile alpha motif domain containing 3 [Source:RGD Symbol%3BAcc:1587834]
ENSRNOG00000050801	AABR07000629.2	--
ENSRNOG00000049569	AABR07000629.1	--
ENSRNOG00000047783	Tmem200a	transmembrane protein 200A [Source:RGD Symbol%3BAcc:1564024]
ENSRNOG00000011855	Tmem200a	transmembrane protein 200A [Source:RGD Symbol%3BAcc:1564024]
ENSRNOG00000053931	AABR07000631.1	--
ENSRNOG00000026462	RGD1559962	similar to High mobility group protein 2 (HMG-2) [Source:RGD Symbol%3BAcc:1559962]
ENSRNOG00000056218	AABR07000639.1	--
ENSRNOG00000047821	Smlr1	small leucine-rich protein 1 [Source:RGD Symbol%3BAcc:1586664]
ENSRNOG00000012346	Epb41l2	erythrocyte membrane protein band 4.1-like 2 [Source:RGD Symbol%3BAcc:1563977]
ENSRNOG00000013202	Akap7	A-kinase anchoring protein 7 [Source:RGD Symbol%3BAcc:1303071]
ENSRNOG00000055111	AABR07000658.2	--
ENSRNOG00000054921	AABR07000658.1	--
ENSRNOG00000053999	AABR07071851.2	--
ENSRNOG00000052696	AABR07071851.1	--
ENSRNOG00000013304	Arg1	arginase 1 [Source:RGD Symbol%3BAcc:2150]
ENSRNOG00000013422	Med23	mediator complex subunit 23 [Source:RGD Symbol%3BAcc:1307671]
ENSRNOG00000013791	Enpp3	ectonucleotide pyrophosphatase/phosphodiesterase 3 [Source:RGD Symbol%3BAcc:708511]
ENSRNOG00000053913	AC127189.1	--
ENSRNOG00000013994	Enpp1	ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:RGD Symbol%3BAcc:628825]
ENSRNOG00000015036	Ctgf	connective tissue growth factor [Source:RGD Symbol%3BAcc:621392]
ENSRNOG00000015321	Moxd1	monooxygenase%2C DBH-like 1 [Source:RGD Symbol%3BAcc:1310033]
ENSRNOG00000015670	Stx7	syntaxin 7 [Source:RGD Symbol%3BAcc:619747]
ENSRNOG00000026096	Taar9	trace amine-associated receptor 9 [Source:RGD Symbol%3BAcc:631383]
ENSRNOG00000056705	AABR07000663.1	trace amine-associated receptor 8c (Taar8c)%2C mRNA [Source:RefSeq mRNA%3BAcc:NM_175600]
ENSRNOG00000048934	LOC100910174	trace amine-associated receptor 8a-like [Source:RGD Symbol%3BAcc:6499755]
ENSRNOG00000030414	Taar8a	trace amine-associated receptor 8a [Source:RGD Symbol%3BAcc:631391]
ENSRNOG00000039872	AC128759.2	--
ENSRNOG00000048072	Taar7h	trace amine-associated receptor 7h [Source:RGD Symbol%3BAcc:631385]
ENSRNOG00000052726	AC128759.3	--
ENSRNOG00000048265	Taar7g	trace amine-associated receptor 7g [Source:RGD Symbol%3BAcc:631388]
ENSRNOG00000046903	Taar7e	trace-amine-associated receptor 7e [Source:RGD Symbol%3BAcc:631394]
ENSRNOG00000045914	Taar7d	trace-amine-associated receptor 7d [Source:RGD Symbol%3BAcc:631395]
ENSRNOG00000047825	Taar7c	trace amine-associated receptor 7C [Source:RGD Symbol%3BAcc:1359258]
ENSRNOG00000046302	Taar7b	trace amine-associated receptor 7b [Source:RGD Symbol%3BAcc:631392]
ENSRNOG00000016095	AC128759.1	--
ENSRNOG00000016089	Taar6	trace amine-associated receptor 6 [Source:RGD Symbol%3BAcc:631384]
ENSRNOG00000039869	Taar5	trace amine-associated receptor 5 [Source:RGD Symbol%3BAcc:1359185]
ENSRNOG00000029877	Taar4	trace amine-associated receptor 4 [Source:RGD Symbol%3BAcc:631382]
ENSRNOG00000025982	Taar3	trace amine-associated receptor 3 [Source:RGD Symbol%3BAcc:1359566]
ENSRNOG00000025951	Taar2	trace amine-associated receptor 2 [Source:RGD Symbol%3BAcc:1311240]
ENSRNOG00000016073	Taar1	trace-amine-associated receptor 1 [Source:RGD Symbol%3BAcc:621621]
ENSRNOG00000016219	Vnn1	vanin 1 [Source:RGD Symbol%3BAcc:1310075]
ENSRNOG00000039865	Vnn3	vanin 3 [Source:RGD Symbol%3BAcc:1560609]
ENSRNOG00000016371	Slc18b1	solute carrier family 18 member B1 [Source:RGD Symbol%3BAcc:1306962]
ENSRNOG00000060376	LOC100910237	uncharacterized LOC100910237 [Source:RGD Symbol%3BAcc:6499508]
ENSRNOG00000016411	Rps12	ribosomal protein S12 [Source:RGD Symbol%3BAcc:62024]
ENSRNOG00000057952	AABR07000670.2	--
ENSRNOG00000061678	AABR07000670.3	--
ENSRNOG00000054517	AABR07000670.1	--
ENSRNOG00000016627	Eya4	EYA transcriptional coactivator and phosphatase 4 [Source:RGD Symbol%3BAcc:1307099]
ENSRNOG00000048248	LOC100910446	syntaxin-7-like [Source:RGD Symbol%3BAcc:6498726]
ENSRNOG00000016700	Tcf21	transcription factor 21 [Source:RGD Symbol%3BAcc:620523]
ENSRNOG00000011114	Tbpl1	TATA-box binding protein like 1 [Source:RGD Symbol%3BAcc:1597456]
ENSRNOG00000011161	Slc2a12	solute carrier family 2 member 12 [Source:RGD Symbol%3BAcc:1310175]
ENSRNOG00000051597	AABR07000714.1	--
ENSRNOG00000057722	AABR07000714.2	--
ENSRNOG00000011815	Sgk1	serum/glucocorticoid regulated kinase 1 [Source:RGD Symbol%3BAcc:3668]
ENSRNOG00000059690	AABR07000720.2	--
ENSRNOG00000051379	AABR07000720.1	--
ENSRNOG00000059251	1700020N01Rik	RIKEN cDNA 1700020N01 gene [Source:MGI Symbol%3BAcc:MGI:1914942]
ENSRNOG00000061761	AABR07000723.3	--
ENSRNOG00000056881	AABR07000723.1	--
ENSRNOG00000055637	AABR07000725.1	--
ENSRNOG00000058047	AABR07000733.1	--
ENSRNOG00000052999	LOC501467	similar to spermatogenesis associated glutamate (E)-rich protein 4d [Source:RGD Symbol%3BAcc:1587222]
ENSRNOG00000048976	LOC501467	similar to spermatogenesis associated glutamate (E)-rich protein 4d [Source:RGD Symbol%3BAcc:1587222]
ENSRNOG00000048796	AABR07000740.1	--
ENSRNOG00000054246	RGD1562660	RGD1562660 [Source:RGD Symbol%3BAcc:1562660]
ENSRNOG00000012122	Clvs2	clavesin 2 [Source:RGD Symbol%3BAcc:1306801]
ENSRNOG00000062105	b	--
ENSRNOG00000062163	Rn60_1_0253.2	--
ENSRNOG00000062138	Rn60_1_0254.1	--
ENSRNOG00000012609	Trdn	triadin [Source:RGD Symbol%3BAcc:619856]
ENSRNOG00000058582	AABR07000900.3	--
ENSRNOG00000029608	Nkain2	Na+/K+ transporting ATPase interacting 2 [Source:RGD Symbol%3BAcc:2323702]
ENSRNOG00000052712	AABR07000900.1	--
ENSRNOG00000057890	AABR07000900.2	--
ENSRNOG00000056670	AABR07000902.1	--
ENSRNOG00000013323	Rnf217	ring finger protein 217 [Source:RGD Symbol%3BAcc:1306836]
ENSRNOG00000021478	Tpd52l1	tumor protein D52-like 1 [Source:RGD Symbol%3BAcc:1594796]
ENSRNOG00000021442	Hddc2	HD domain containing 2 [Source:RGD Symbol%3BAcc:1307562]
ENSRNOG00000041720	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000013364	Hey2	hes-related family bHLH transcription factor with YRPW motif 2 [Source:RGD Symbol%3BAcc:621405]
ENSRNOG00000014004	Ncoa7	nuclear receptor coactivator 7 [Source:RGD Symbol%3BAcc:1566426]
ENSRNOG00000045369	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000014190	Hint3	histidine triad nucleotide binding protein 3 [Source:RGD Symbol%3BAcc:621603]
ENSRNOG00000014240	Trmt11	tRNA methyltransferase 11 homolog [Source:RGD Symbol%3BAcc:727798]
ENSRNOG00000042944	Cenpw	centromere protein W [Source:RGD Symbol%3BAcc:1593465]
ENSRNOG00000060033	AABR07000968.3	--
ENSRNOG00000050157	AABR07000968.1	--
ENSRNOG00000056383	AABR07000968.2	--
ENSRNOG00000061372	AABR07000968.4	--
ENSRNOG00000056484	AABR07000978.1	--
ENSRNOG00000011568	Rspo3	R-spondin 3 [Source:RGD Symbol%3BAcc:1563246]
ENSRNOG00000011588	Rnf146	ring finger protein 146 [Source:RGD Symbol%3BAcc:1306482]
ENSRNOG00000011622	Echdc1	ethylmalonyl-CoA decarboxylase 1 [Source:RGD Symbol%3BAcc:1359654]
ENSRNOG00000054753	AABR07000986.1	--
ENSRNOG00000042309	Soga3	SOGA family member 3 [Source:RGD Symbol%3BAcc:1307525]
ENSRNOG00000012324	Soga3	SOGA family member 3 [Source:RGD Symbol%3BAcc:1307525]
ENSRNOG00000061741	Gm9996	predicted gene 9996 [Source:MGI Symbol%3BAcc:MGI:3642549]
ENSRNOG00000054845	AABR07000990.1	--
ENSRNOG00000023407	Mrpl36	mitochondrial ribosomal protein L36 [Source:RGD Symbol%3BAcc:1306375]
ENSRNOG00000023387	LOC679739	NADH dehydrogenase (ubiquinone) Fe-S protein 6 [Source:RGD Symbol%3BAcc:1584802]
ENSRNOG00000012581	RGD1311933	similar to RIKEN cDNA 2310057J18 [Source:RGD Symbol%3BAcc:1311933]
ENSRNOG00000039788	AC094217.1	--
ENSRNOG00000051400	AC094217.2	--
ENSRNOG00000039783	Rpl26-ps2	ribosomal protein L26%2C pseudogene 2 [Source:RGD Symbol%3BAcc:1565215]
ENSRNOG00000028357	Lrrc14b	leucine rich repeat containing 14B [Source:RGD Symbol%3BAcc:1564978]
ENSRNOG00000012775	Ccdc127	coiled-coil domain containing 127 [Source:RGD Symbol%3BAcc:735106]
ENSRNOG00000013331	Sdha	succinate dehydrogenase complex flavoprotein subunit A [Source:RGD Symbol%3BAcc:621557]
ENSRNOG00000014485	Pdcd6	programmed cell death 6 [Source:RGD Symbol%3BAcc:1311239]
ENSRNOG00000014721	Ahrr	aryl-hydrocarbon receptor repressor [Source:RGD Symbol%3BAcc:1559857]
ENSRNOG00000039776	Exoc3	exocyst complex component 3 [Source:RGD Symbol%3BAcc:621790]
ENSRNOG00000015159	Slc9a3	solute carrier family 9 member A3 [Source:RGD Symbol%3BAcc:3720]
ENSRNOG00000015465	Cep72	centrosomal protein 72 [Source:RGD Symbol%3BAcc:1566336]
ENSRNOG00000028261	Tppp	tubulin polymerization promoting protein [Source:RGD Symbol%3BAcc:1310121]
ENSRNOG00000039743	Zdhhc11	zinc finger%2C DHHC-type containing 11 [Source:RGD Symbol%3BAcc:1564281]
ENSRNOG00000060926	AABR07001001.2	--
ENSRNOG00000015676	Brd9	bromodomain containing 9 [Source:RGD Symbol%3BAcc:1307359]
ENSRNOG00000015810	Trip13	thyroid hormone receptor interactor 13 [Source:RGD Symbol%3BAcc:1308516]
ENSRNOG00000051415	AABR07001001.1	--
ENSRNOG00000045233	5S_rRNA	5S ribosomal RNA [Source:RFAM%3BAcc:RF00001]
ENSRNOG00000016103	Nkd2	naked cuticle homolog 2 [Source:RGD Symbol%3BAcc:1311459]
ENSRNOG00000016372	Slc12a7	solute carrier family 12 member 7 [Source:RGD Symbol%3BAcc:1359672]
ENSRNOG00000056712	AC142421.1	--
ENSRNOG00000026501	Slc6a19	solute carrier family 6 member 19 [Source:RGD Symbol%3BAcc:1594328]
ENSRNOG00000016253	Slc6a18	solute carrier family 6 member 18 [Source:RGD Symbol%3BAcc:69352]
ENSRNOG00000061518	AC142421.2	--
ENSRNOG00000025327	Tert	telomerase reverse transcriptase [Source:RGD Symbol%3BAcc:70494]
ENSRNOG00000016923	Clptm1l	CLPTM1-like [Source:RGD Symbol%3BAcc:1307896]
ENSRNOG00000017302	Slc6a3	solute carrier family 6 member 3 [Source:RGD Symbol%3BAcc:3715]
ENSRNOG00000017930	Lpcat1	lysophosphatidylcholine acyltransferase 1 [Source:RGD Symbol%3BAcc:1311599]
ENSRNOG00000053180	AABR07001003.1	--
ENSRNOG00000047971	LOC100910528	39S ribosomal protein L36%2C mitochondrial-like [Source:RGD Symbol%3BAcc:6497862]
ENSRNOG00000049394	LOC100912599	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6%2C mitochondrial-like [Source:RGD Symbol%3BAcc:6485961]
ENSRNOG00000012720	Irx4	iroquois homeobox 4 [Source:RGD Symbol%3BAcc:1309309]
ENSRNOG00000060323	AABR07001006.1	--
ENSRNOG00000057164	AABR07001010.1	--
ENSRNOG00000012742	Irx2	iroquois homeobox 2 [Source:RGD Symbol%3BAcc:1309834]
ENSRNOG00000058487	AABR07001018.5	--
ENSRNOG00000055826	AABR07001018.3	--
ENSRNOG00000053323	AABR07001018.1	--
ENSRNOG00000056842	AABR07001018.4	--
ENSRNOG00000033609	Irx1	iroquois homeobox 1 [Source:RGD Symbol%3BAcc:1309060]
ENSRNOG00000054020	AABR07001018.2	--
ENSRNOG00000054169	AABR07001019.1	--
ENSRNOG00000057928	AABR07001025.1	--
ENSRNOG00000057721	AABR07001035.1	--
ENSRNOG00000016812	Adamts16	ADAM metallopeptidase with thrombospondin type 1 motif%2C 16 [Source:RGD Symbol%3BAcc:1310046]
ENSRNOG00000047117	AABR07001037.1	--
ENSRNOG00000023053	Ice1	interactor of little elongation complex ELL subunit 1 [Source:RGD Symbol%3BAcc:1309747]
ENSRNOG00000049434	AABR07001048.1	--
ENSRNOG00000052375	AABR07001053.1	--
ENSRNOG00000017095	LOC679881	similar to dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:RGD Symbol%3BAcc:1583609]
ENSRNOG00000055337	AABR07001054.1	--
ENSRNOG00000057357	AABR07001054.2	--
ENSRNOG00000017150	Med10	mediator complex subunit 10 [Source:RGD Symbol%3BAcc:1310128]
ENSRNOG00000043733	AABR07001057.1	--
ENSRNOG00000034075	Ube2ql1	ubiquitin-conjugating enzyme E2Q family-like 1 [Source:RGD Symbol%3BAcc:1598121]
ENSRNOG00000017254	Nsun2	NOP2/Sun RNA methyltransferase family%2C member 2 [Source:RGD Symbol%3BAcc:1311954]
ENSRNOG00000017601	Srd5a1	steroid 5 alpha-reductase 1 [Source:RGD Symbol%3BAcc:3757]
ENSRNOG00000052644	AABR07001060.1	--
ENSRNOG00000017613	Papd7	PAP associated domain containing 7 [Source:RGD Symbol%3BAcc:1307356]
ENSRNOG00000055880	AABR07001061.1	--
ENSRNOG00000017678	AABR07001064.1	--
ENSRNOG00000058077	AABR07001068.1	--
ENSRNOG00000032150	Adcy2	adenylate cyclase 2 (brain) [Source:RGD Symbol%3BAcc:619965]
ENSRNOG00000055957	AABR07001099.2	--
ENSRNOG00000047406	RGD1308544	LOC361192 [Source:RGD Symbol%3BAcc:1308544]
ENSRNOG00000027422	Fastkd3	FAST kinase domains 3 [Source:RGD Symbol%3BAcc:1309729]
ENSRNOG00000017826	Mtrr	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:RGD Symbol%3BAcc:1308671]
ENSRNOG00000042308	LOC680200	similar to zinc finger protein 455 [Source:RGD Symbol%3BAcc:1594231]
ENSRNOG00000058041	AABR07001099.3	--
ENSRNOG00000051377	Zfp874b	zinc finger protein 874b [Source:RGD Symbol%3BAcc:1594209]
ENSRNOG00000059310	AABR07001099.4	--
ENSRNOG00000017963	AABR07001099.1	--
ENSRNOG00000049259	LOC102549842	zinc finger protein 91-like [Source:RGD Symbol%3BAcc:7600894]
ENSRNOG00000016462	LOC102547287	zinc finger protein 728-like [Source:RGD Symbol%3BAcc:7718701]
ENSRNOG00000056694	Gm26965	predicted gene%2C 26965 [Source:MGI Symbol%3BAcc:MGI:5504080]
