#Gene_ID	Gene_symbol
gene0	Vom2r4
gene130	LOC102547411
gene131	Map3k5
gene132	LOC103694982
gene133	LOC102547350
gene134	Map7
gene135	Bclaf1
gene136	LOC100911069
gene137	Pde7b
gene138	LOC102553525
gene139	Ahi1
gene140	RGD1560020_predicted
gene141	Hbs1l
gene142	Aldh8a1
gene143	LOC102552380
gene144	LOC103690941
gene145	Themis
gene146	LOC100911211
gene147	Ptprk
gene148	LOC685825
gene149	LOC365062
gene150	Lama2
gene151	Arhgap18
gene152	LOC103690928
gene153	LOC686442
gene154	LOC361456
gene155	L3mbtl3
gene156	Samd3
gene157	LOC100360791
gene158	Tmem200a
gene159	RGD1559962
gene160	LOC100364016
gene161	LOC102552728
gene162	Epb41l2
gene163	LOC102552668
gene164	Smlr1
gene165	LOC686007
gene166	Akap7
gene167	LOC103694983
gene168	LOC103690929
gene169	LOC688396
gene170	LOC102552962
gene171	Arg1
gene172	Med23
gene173	Enpp3
gene174	LOC102553363
gene175	Enpp1
gene176	Ctgf
gene177	LOC103690930
gene178	LOC102553526
gene179	LOC102553457
gene180	LOC502223
gene181	Moxd1
gene182	Stx7
gene183	Taar9
gene184	Taar8c
gene185	Taar8b
gene186	Taar8a
gene187	Taar7i-ps
gene188	Taar7h
gene189	Taar7g
gene190	Taar7f-ps
gene191	Taar7e
gene192	Taar7d
gene193	Taar7c
gene194	Taar7b
gene195	Taar7a
gene196	Taar6
gene197	Taar5
gene198	LOC103690931
gene199	Taar4
gene200	Taar3
gene201	Taar2
gene202	LOC102554023
gene203	Taar1
gene204	Vnn1
gene205	Vnn3
gene206	Slc18b1
gene207	LOC100910237
gene208	Rps12
gene209	LOC103690934
gene210	LOC102554376
gene211	Eya4
gene212	LOC102555465
gene213	Tcf21
gene214	Tbpl1
gene215	Slc2a12
gene216	LOC102555830
gene217	LOC102555889
gene218	LOC102547026
gene219	Sgk1
gene220	LOC100365542
gene221	LOC102546868
gene222	LOC292178
gene223	Clvs2
gene224	LOC103690942
gene225	LOC365071
gene226	Trdn
gene227	LOC103694984
gene228	Nkain2
gene229	LOC102551530
gene230	LOC689216
gene231	LOC689227
gene232	LOC102551716
gene233	LOC103690944
gene234	Rnf217
gene235	Tpd52l1
gene236	Hddc2
gene237	LOC365073
gene238	LOC365074
gene239	Hey2
gene240	Trnae-cuc
gene241	Ncoa7
gene242	Hint3
gene243	Trmt11
gene244	LOC498996
gene245	Cenpw
gene246	LOC103690945
gene247	LOC102554199
gene248	LOC365076
gene249	LOC102548197
gene250	Rspo3
gene251	Rnf146
gene252	Echdc1
gene253	LOC103694985
gene254	LOC102554862
gene255	Kiaa0408
gene256	RGD1311933
gene257	LOC365078
gene258	LOC103690240
gene259	LOC102555956
gene260	LOC100911237
gene261	LOC689660
gene262	Rpl26-ps2
gene263	Lrrc14b
gene264	Ccdc127
gene265	Sdha
gene266	LOC103694986
gene267	Pdcd6
gene268	Ahrr
gene269	LOC102548594
gene270	Exoc3
gene271	Slc9a3
gene272	Cep72
gene273	Tppp
gene274	Zdhhc11
gene275	Brd9
gene276	Trip13
gene277	Nkd2
gene278	Slc12a7
gene279	Slc6a19
gene280	Slc6a18
gene281	LOC103690946
gene282	Tert
gene283	Clptm1l
gene284	LOC102548924
gene285	Slc6a3
gene286	Lpcat1
gene287	LOC102549004
gene288	LOC100910528
gene289	LOC679739
gene290	Irx4
gene291	Irx2
gene292	LOC102553527
gene293	LOC364658
gene294	Irx1
gene295	LOC100910701
gene296	LOC103690948
gene297	Adamts16
gene298	LOC102554097
gene299	Ice1
gene300	LOC679881
gene301	LOC102554456
gene302	LOC103690219
gene303	Med10
gene304	Ube2ql1
gene305	Nsun2
gene306	Srd5a1
gene307	Papd7
gene308	LOC364661
gene309	LOC103690949
gene310	LOC100910971
gene311	LOC102555160
gene312	LOC680107
gene313	LOC680123
gene314	Adcy2
gene315	LOC103690950
gene316	LOC100362709
gene317	RGD1308544
gene318	Fastkd3
gene319	Mtrr
gene320	LOC680200
gene321	LOC103694988
gene322	Zfp874b
gene323	RGD1566325
gene324	LOC103690951
gene325	LOC102550118
gene326	LOC102547287
gene327	LOC102549842
gene328	Zfp748
gene329	RGD1564382
gene330	LOC102551340
gene331	LOC501406
gene332	LOC102557227
gene333	LOC103694987
gene334	LOC103694989
gene335	LOC100912871
gene336	LOC103694990
gene337	LOC102556805
gene338	Rab1-ps1
gene339	LOC102556776
gene340	LOC100912792
gene341	LOC103694991
gene342	LOC103694992
gene343	LOC100912880
gene344	LOC100363686
gene345	LOC102555832
gene346	Ppp1r14c
gene347	Iyd
gene348	LOC103690955
gene349	LOC103690956
gene350	LOC103690957
gene351	Plekhg1
gene352	LOC679794
gene353	LOC679776
gene354	Mthfd1l
gene355	LOC102546677
gene356	LOC100362235
gene357	Akap12
gene358	Zbtb2
gene359	Rmnd1
gene360	RGD1305235
gene361	Ccdc170
gene362	Esr1
gene363	Syne1
gene364	LOC102546605
gene365	Myct1
gene366	LOC103690959
gene367	Vip
gene368	Fbxo5
gene369	Mtrf1l
gene370	Rgs17
gene371	LOC102549398
gene372	LOC103690975
gene373	RGD1562524
gene374	LOC365090
gene375	LOC102546606
gene376	LOC103690976
gene377	LOC502226
gene378	LOC102546790
gene379	Oprm1
gene380	Ipcef1
gene381	LOC102553925
gene382	LOC680118
gene383	Cnksr3
gene384	RGD1560234
gene385	Scaf8
gene386	LOC100362710
gene387	Tfb1m
gene388	Cldn20
gene389	LOC102547288
gene390	LOC103690965
gene391	Nox3
gene392	LOC103690966
gene393	LOC100362756
gene394	LOC102548198
gene395	LOC100912993
gene396	LOC102548409
gene397	LOC102548472
gene398	LOC103694994
gene399	Arid1b
gene400	LOC102548691
gene401	Tmem242
gene402	Ldhal6b
gene403	Zdhhc14
gene404	LOC103690967
gene405	LOC103694993
gene406	Snx9
gene407	LOC100365065
gene408	Synj2
gene409	LOC102551310
gene410	LOC103690968
gene411	Serac1
gene412	Gtf2h5
gene413	LOC102551377
gene414	Tulp4
gene415	Tmem181
gene416	Dynlt1
gene417	Sytl3
gene418	Ezr
gene419	Rsph3
gene420	Tagap
gene421	RGD1560015
gene422	Fndc1
gene423	LOC103690969
gene424	LOC680622
gene425	Sod2
gene426	Wtap
gene427	LOC102553528
gene428	Acat2
gene429	LOC102556709
gene430	LOC678796
gene431	LOC103694995
gene432	RGD1562948
gene433	Tcp1
gene434	Mrpl18
gene435	Pnldc1
gene436	Mrgprh
gene437	Mas1
gene438	LOC103690970
gene439	LOC102553394
gene440	Igf2r
gene441	Slc22a1
gene442	Slc22a2
gene443	LOC103690972
gene444	LOC502229
gene445	LOC102553224
gene446	Slc22a3
gene447	Plg
gene448	Dut-ps
gene449	Map3k4
gene450	Agpat4
gene451	Park2
gene452	LOC103690973
gene453	LOC102552630
gene454	LOC103694996
gene455	Pacrg
gene456	LOC102552213
gene457	Qk
gene458	LOC499023
gene459	LOC102549462
gene460	LOC102549608
gene461	Pabpc6
gene462	MGC94891
gene463	Pde10a
gene464	LOC103694997
gene465	T
gene466	T2
gene467	LOC102547515
gene468	LOC684284
gene469	Prr18
gene470	Sft2d1
gene471	Mpc1
gene472	LOC102547568
gene473	Ccr6
gene474	LOC683722
gene475	Rnaset2
gene476	Rps6ka2
gene477	LOC103694998
gene478	Gpr31
gene479	Tcp10b
gene480	Ttll2
gene481	Unc93a
gene482	LOC102548318
gene483	LOC102552087
gene484	LOC102548812
gene485	LOC102548883
gene486	LOC103690985
gene487	LOC102556629
gene488	LOC365499
gene489	LOC100910902
gene490	Vom2r9
gene491	Vom2r-ps18
gene492	Vom2r-ps17
gene493	Vom2r8
gene494	Vom1r-ps3
gene495	RGD1561767
gene496	Vom1r1
gene497	Vom1r-ps2
gene498	Vom2r-ps15
gene499	Vom2r7
gene500	LOC103695000
gene501	LOC103694999
gene502	LOC102556655
gene503	LOC102549906
gene504	LOC102556715
gene505	LOC103690341
gene506	LOC102556853
gene507	Mllt4
gene508	LOC103695001
gene509	LOC103690979
gene510	LOC365111
gene511	RGD1562753
gene512	LOC102546709
gene513	LOC103695002
gene514	LOC685793
gene515	LOC102556873
gene516	LOC100912947
gene517	LOC102551311
gene518	LOC685303
gene519	LOC103695004
gene520	LOC103695003
gene521	RGD1561667
gene522	Frmd1
gene523	LOC102550907
gene524	LOC103695006
gene525	LOC103690984
gene526	Dact2
gene527	Smoc2
gene528	Thbs2
gene529	LOC103690994
gene530	Wdr27
gene531	LOC100125364
gene532	Phf10
gene533	Tcte3
gene534	Ermard
gene535	LOC102556943
gene536	LOC102550786
gene537	LOC102550953
gene538	LOC102550720
gene539	LOC102555561
gene540	Dll1
gene541	Fam120b
gene542	LOC102557016
gene543	Psmb1
gene544	Tbp
gene545	Pdcd2
gene546	Prdm9
gene547	LOC102551889
gene548	LOC679482
gene549	Chd1
gene550	Rgmb
gene551	LOC100366080
gene552	LOC365156
gene553	Riok2
gene554	Lix1
gene555	LOC102552556
gene556	Lnpep
gene557	LOC102552729
gene558	LOC103695007
gene559	LOC102552823
gene560	LOC102553395
gene561	LOC681615
gene562	Vom2r-ps19
gene563	Vom2r-ps20
gene564	LOC102553133
gene565	Mir99b
gene566	Mir3596c
gene567	Mirlet7e
gene568	Mir125a
gene569	LOC688452
gene570	Has1
gene571	Fpr1
gene572	Fpr2l
gene573	Fpr2
gene574	LOC100361229
gene575	LOC690169
gene576	Fpr3
gene577	LOC690191
gene578	Vom1r-ps4
gene579	Vom1r-ps5
gene580	Fpr-rs4
gene581	Vom2r10
gene582	LOC100911898
gene583	Fpr-rs6
gene584	Vom1r-ps6
gene585	Vom2r-ps22
gene586	Vom1r2
gene587	Vom1r3
gene588	Vom1r4
gene589	Vom1r-ps7
gene590	Vom2r11
gene591	LOC681853
gene592	Vom1r-ps8
gene593	Vom1r5
gene594	LOC681871
gene595	Fpr-rs3
gene596	Vom2r-ps23
gene597	Vom1r6
gene598	Vom1r7
gene599	LOC690283
gene600	Vom1r8
gene601	LOC102556252
gene602	Vom1r-ps9
gene603	Vom1r9
gene604	Vom1r10
gene605	Vom1r11
gene606	LOC103690267
gene607	Vom1r12
gene608	Vom1r13
gene609	Vom1r14
gene610	Vom1r-ps12
gene611	Vom1r-ps13
gene612	LOC681990
gene613	Vom1r15
gene614	Vom1r-ps14
gene615	Vom1r-ps15
gene616	Vom1r-ps16
gene617	Ppp2r1a
gene618	Vom1r-ps17
gene619	Vom1r-ps18
gene620	Vom1r-ps19
gene621	Vom1r-ps20
gene622	LOC100365363
gene623	LOC103695005
gene624	Vom1r17
gene625	Vom1r-ps22
gene626	Vom1r-ps112
gene627	Vom1r-ps23
gene628	Vom1r19
gene629	Vom1r-ps24
gene630	Vom1r20
gene631	Vom1r21
gene632	Vom1r-ps25
gene633	LOC100912955
gene634	LOC102557574
gene635	LOC100365524
gene636	LOC102552527
gene637	Zfp51
gene638	LOC102552284
gene639	Zfp53
gene640	LOC690453
gene641	LOC102547319
gene642	Zfp52
gene643	LOC103690390
gene644	LOC102550851
gene645	Zfp52
gene646	Znf761
gene647	RGD1565566
gene648	Vom1r-ps26
gene649	Vom1r22
gene650	Vom1r23
gene651	LOC102548199
gene652	LOC682206
gene653	LOC102548662
gene654	LOC102548728
gene655	Vom2r-ps24
gene656	LOC102557255
gene657	LOC100910106
gene658	LOC103690401
gene659	LOC103690343
gene660	Vom2r12
gene661	LOC102557266
gene662	Vom2r13
gene663	Vom2r-ps26
gene664	Vom2r-ps27
gene665	LOC103690999
gene666	LOC102555644
gene667	LOC102555377
gene668	LOC682225
gene669	LOC102555191
gene670	Zfp945
gene671	RGD1566248
gene672	LOC102556799
gene673	Vom2r80
gene674	LOC682364
gene675	Zfp40
gene676	Vom2r-ps30
gene677	Vom2r-ps31
gene678	Vom2r15
gene679	LOC682419
gene680	LOC690686
gene681	Vom2r16
gene682	Vom2r-ps32
gene683	Vom2r-ps33
gene684	Vom2r-ps34
gene685	Vom2r-ps35
gene686	Vom2r17
gene687	LOC682526
gene688	Vom2r19
gene689	Vom2r-ps36
gene690	Vom1r55
gene691	Mzf1
gene692	Ube2m
gene693	Chmp2a
gene694	Trim28
gene695	Zbtb45
gene696	Slc27a5
gene697	LOC102552463
gene698	LOC102552250
gene699	Zfp324
gene700	LOC102552901
gene701	RGD1561909
gene702	Rps5
gene703	LOC102553002
gene704	Zfp110
gene705	Zfp329
gene706	Zscan18
gene707	LOC102557240
gene708	Vom2r36
gene709	Mir295-2
gene710	Vom2r35
gene711	Vom2r34
gene712	Vom2r33
gene713	Vom2r-ps60
gene714	LOC691722
gene715	Zfp606
gene716	Vom2r-ps59
gene717	Vom1r-ps64
gene718	Vom1r-ps63
gene719	Vom1r-ps62
gene720	Vom1r54
gene721	Vom1r-ps61
gene722	Vom1r53
gene723	Vom1r-ps60
gene724	Vom1r-ps59
gene725	Vom1r-ps58
gene726	Vom1r52
gene727	Vom1r-ps57
gene728	Vom1r-ps56
gene729	Vom1r51
gene730	Vom1r-ps55
gene731	LOC100365218
gene732	LOC682951
gene733	Zfp551
gene734	Vom1r-ps54
gene735	Vom1r50
gene736	RGD1564617
gene737	Vom1r49
gene738	Vom1r48
gene739	Vom1r-ps53
gene740	Vom1r-ps52
gene741	Vom1r47
gene742	Vom1r46
gene743	Vom1r-ps51
gene744	Vom1r45
gene745	Vom1r44
gene746	Vom1r43
gene747	LOC103691020
gene748	LOC691661
gene749	Vom1r42
gene750	LOC691645
gene751	Vom1r-ps50
gene752	Vom1r-ps49
gene753	LOC100362054
gene754	LOC683137
gene755	LOC292603
gene756	LOC100365574
gene757	Vom2r78
gene758	LOC683178
gene759	Vom1r41
gene760	Vom2r32
gene761	LOC102557334
gene762	Vom1r40
gene763	Vom1r-ps48
gene764	LOC102551598
gene765	LOC100365599
gene766	LOC683242
gene767	Vom2r-ps57
gene768	Vom1r-ps37
gene769	Vom1r110
gene770	Vom1r28
gene771	LOC365167
gene772	LOC103690136
gene773	Vom1r29
gene774	LOC100911184
gene775	LOC102552557
gene776	LOC102552464
gene777	LOC100911224
gene778	LOC103690373
gene779	Vom1r30
gene780	LOC100359878
gene781	LOC100911080
gene782	Vom2r-ps42
gene783	Vom2r26
gene784	LOC102555958
gene785	Lilrc2
gene786	RGD1562625
gene787	Lilrb3
gene788	Lilrb3l
gene789	RGD1562311
gene790	LOC690938
gene791	LOC683420
gene792	LOC690948
gene793	LOC690955
gene794	Rps9
gene795	LOC100909510
gene796	Mboat7
gene797	Tmc4
gene798	Leng1
gene799	Cnot3
gene800	Mir3572
gene801	Prpf31
gene802	Tfpt
gene803	Ndufa3
gene804	Oscar
gene805	LOC100359972
gene806	Tarm1
gene807	Vstm1
gene808	Cacng6
gene809	Cacng8
gene810	LOC103691003
gene811	Cacng7
gene812	Prkcg
gene813	Myadm
gene814	Rpl17l1
gene815	Olr1l
gene816	Nlrp12
gene817	Mir295-1
gene818	Mir294
gene819	Mir293
gene820	Mir291b
gene821	Mir292
gene822	Mir291a
gene823	Mir290
gene824	LOC292543
gene825	LOC103690334
gene826	Vom2r27
gene827	Nlrp4a
gene828	Nlrp4f
gene829	Vom1r-ps40
gene830	Vom1r-ps41
gene831	Vom2r-ps44
gene832	Vom2r-ps45
gene833	LOC100362711
gene834	LOC102557567
gene835	Vom2r28
gene836	LOC103691055
gene837	Zfp418
gene838	Vom2r-ps46
gene839	LOC103691032
gene840	LOC691135
gene841	Vom1r-ps42
gene842	Zfp978
gene843	Hiat1-ps1
gene844	Zfp773-ps1
gene845	Zfp772
gene846	LOC102547517
gene847	LOC102547412
gene848	LOC103695010
gene849	Aurkc
gene850	LOC102547839
gene851	LOC100910305
gene852	Usp29
gene853	LOC102548037
gene854	LOC102547973
gene855	Mir3099
gene856	LOC102547903
gene857	LOC103691034
gene858	Zim1
gene859	LOC102548092
gene860	Olr3
gene861	Olr4
gene862	Olr5
gene863	Olr6
gene864	Olr7
gene865	Olr8
gene866	LOC103691061
gene867	Smim17
gene868	Zfp28
gene869	Znf471
gene870	LOC102548162
gene871	LOC103695009
gene872	Zfp583
gene873	Zfp667
gene874	LOC103691035
gene875	LOC102548473
gene876	Zscan5b
gene877	Galp
gene878	Zfp444
gene879	Zfp787
gene880	Nlrp5
gene881	LOC691617
gene882	Vom2r-ps55
gene883	LOC100361673
gene884	Vom2r30
gene885	LOC365185
gene886	LOC691592
gene887	Vom2r-ps54
gene888	Vom2r-ps53
gene889	Vom1r-ps47
gene890	Vom2r-ps52
gene891	Vom2r-ps51
gene892	LOC102556800
gene893	LOC102549811
gene894	Vom2r-ps49
gene895	Vom1r-ps46
gene896	Vom2r29
gene897	Vom2r-ps48
gene898	Nlrp4b
gene899	LOC691554
gene900	Lair1
gene901	Ttyh1
gene902	Leng8
gene903	LOC100912286
gene904	Cdc42ep5
gene905	LOC691536
gene906	LOC102556904
gene907	LOC103690423
gene908	Lilra5
gene909	RGD1566307
gene910	LOC103691039
gene911	LOC103695012
gene912	Lilrb4
gene913	Kir3dl1
gene914	LOC100361171
gene915	Fcar
gene916	Ncr1
gene917	LOC365182
gene918	LOC684545
gene919	LOC103695011
gene920	Gp6
gene921	LOC103690369
gene922	Rdh13
gene923	Eps8l1
gene924	Ppp1r12c
gene925	Tnnt1
gene926	Tnni3
gene927	Dnaaf3
gene928	Syt5
gene929	Ptprh
gene930	LOC103691056
gene931	LOC103691036
gene932	LOC102547606
gene933	Tmem86b
gene934	Ppp6r1
gene935	Hspbp1
gene936	Brsk1
gene937	Tmem150b
gene938	Suv420h2
gene939	Cox6b2
gene940	Fam71e2
gene941	Il11
gene942	Tmem190
gene943	Tmem238
gene944	Rpl28
gene945	Ube2s
gene946	Shisa7
gene947	Isoc2b
gene948	LOC292586
gene949	LOC684270
gene950	LOC684792
gene951	Zfp628
gene952	Nat14
gene953	Ssc5d
gene954	Sbk2
gene955	Sbk3
gene956	Zfp579
gene957	Fiz1
gene958	Zfp524
gene959	LOC100911196
gene960	Zfp865
gene961	Ccdc106
gene962	U2af2
gene963	Epn1
gene964	Rfpl4a
gene965	Rasl2-9
gene966	Vom2r-ps47
gene967	Vom1r38
gene968	Vom1r-ps45
gene969	Vom1r37
gene970	Vom1r36
gene971	Vom1r35
gene972	Obox5
gene973	Vom1r34
gene974	Cct6a-ps14
gene975	Vom1r-ps44
gene976	Vom1r64
gene977	Cct6a-ps6
gene978	Vom1r33
gene979	LOC100363164
gene980	Nlrp9
gene981	Vom1r32
gene982	Vom1r-ps43
gene983	Obox2
gene984	LOC691325
gene985	LOC691321
gene986	RGD1564651
gene987	Nlrp4
gene988	Vom1r57
gene989	Vom1r-ps65
gene990	RGD1564801
gene991	Vom1r59
gene992	Vom1r60
gene993	Vom1r61
gene994	Vom1r62
gene995	RGD1310257
gene996	Lig1
gene997	Pla2g4c
gene998	LOC691813
gene999	Peli1-ps1
gene1000	Cabp5
gene1001	Bsph1
gene1002	Bsph2
gene1003	LOC103690412
gene1004	LOC100360574
gene1005	LOC691829
gene1006	LOC365195
gene1007	Sult2a6
gene1008	LOC691836
gene1009	LOC100363107
gene1010	LOC103695013
gene1011	RGD1565590
gene1012	LOC365200
gene1013	LOC103691067
gene1014	LOC102554917
gene1015	Obox1
gene1016	LOC691866
gene1017	LOC103691042
gene1018	Crx
gene1019	LOC102553890
gene1020	Crxos1
gene1021	Sepw1
gene1022	LOC100360843
gene1023	LOC100364427
gene1024	LOC100364457
gene1025	Gltscr2
gene1026	Ehd2
gene1027	Gltscr1
gene1028	LOC103691043
gene1029	Zfp541
gene1030	Napa
gene1031	Kptn
gene1032	Slc8a2
gene1033	Meis3
gene1034	Dhx34
gene1035	LOC686461
gene1036	C5ar2
gene1037	LOC684925
gene1038	C5ar1
gene1039	Prr24
gene1040	LOC684934
gene1041	LOC103691044
gene1042	Bbc3
gene1043	Sae1
gene1044	LOC686496
gene1045	Zc3h4
gene1046	Tmem160
gene1047	Npas1
gene1048	Arhgap35
gene1049	LOC102550403
gene1050	Ceacam9
gene1051	Ap2s1
gene1052	LOC679748
gene1053	Slc1a5
gene1054	Fkrp
gene1055	Strn4
gene1056	Prkd2
gene1057	Dact3
gene1058	Gng8
gene1059	Ptgir
gene1060	Calm3
gene1061	Pnmal2
gene1062	LOC103691045
gene1063	Pnmal1
gene1064	LOC100362494
gene1065	Ccdc8
gene1066	Ppp5c
gene1067	Hif3a
gene1068	Cgm4
gene1069	Psg16
gene1070	Ceacam3
gene1071	Psgb1
gene1072	Psg29
gene1073	LOC102550682
gene1074	LOC102557244
gene1075	Ceacam11
gene1076	Igfl3
gene1077	LOC100362729
gene1078	LOC102550882
gene1079	LOC102552765
gene1080	Mill1
gene1081	LOC102552856
gene1082	LOC103691047
gene1083	LOC292672
gene1084	Psg19
gene1085	LOC102557319
gene1086	LOC102557362
gene1087	LOC308401
gene1088	LOC100362871
gene1089	Micb
gene1090	LOC103691048
gene1091	Pglyrp1
gene1092	Ccdc61
gene1093	Nova2
gene1094	Nanos2
gene1095	Mypop
gene1096	Irf2bp1
gene1097	Foxa3
gene1098	Sympk
gene1099	Rsph6a
gene1100	Dmwd
gene1101	Dmpk
gene1102	Six5
gene1103	LOC102553424
gene1104	Fbxo46
gene1105	Qpctl
gene1106	Snrpd2
gene1107	Gipr
gene1108	Eml2
gene1109	Mir330
gene1110	Gpr4
gene1111	Opa3
gene1112	Vasp
gene1113	Ppm1n
gene1114	Rtn2
gene1115	Trnastop-uca
gene1116	Fosb
gene1117	LOC103691049
gene1118	LOC103695015
gene1119	Ercc1
gene1120	Cd3eap
gene1121	Ppp1r13l
gene1122	Ercc2
gene1123	Mir343
gene1124	Klc3
gene1125	Ckm
gene1126	Mark4
gene1127	Exoc3l2
gene1128	Bloc1s3
gene1129	Trappc6a
gene1130	Nkpd1
gene1131	Ppp1r37
gene1132	Gemin7
gene1133	Zfp296
gene1134	Clasrp
gene1135	Relb
gene1136	Clptm1
gene1137	Apoc2
gene1138	Apoc4
gene1139	Apoc1
gene1140	Apoe
gene1141	Tomm40
gene1142	Pvrl2
gene1143	Bcam
gene1144	Cblc
gene1145	Bcl3
gene1146	Ceacam16
gene1147	LOC102547975
gene1148	Ceacam19
gene1149	PVR
gene1150	Igsf23
gene1151	Ceacam20
gene1152	LOC102548132
gene1153	Zfp180
gene1154	LOC103691052
gene1155	Zfp112
gene1156	LOC102548230
gene1157	LOC102551479
gene1158	Zfp111
gene1159	LOC102548600
gene1160	LOC102548503
gene1161	LOC103691069
gene1162	Zfp61
gene1163	Zfp94
gene1164	LOC103691053
gene1165	LOC102548695
gene1166	Tescl
gene1167	Lypd5
gene1168	Kcnn4
gene1169	Smg9
gene1170	Irgc
gene1171	Plaur
gene1172	Cadm4
gene1173	Zfp428
gene1174	Irgq
gene1175	Pinlyp
gene1176	Xrcc1
gene1177	Zfp575
gene1178	Ethe1
gene1179	Phldb3
gene1180	Lypd3
gene1181	Tex101
gene1182	LOC681077
gene1183	LOC100363535
gene1184	RGD1565655
gene1185	LOC100911309
gene1186	Cd177
gene1187	LOC100910734
gene1188	Ceacam10
gene1189	LOC103689938
gene1190	Lypd4
gene1191	Dmrtc2
gene1192	Rps19
gene1193	LOC100913063
gene1194	Arhgef1
gene1195	RGD1563034
gene1196	Rabac1
gene1197	Atp1a3
gene1198	Grik5
gene1199	Zfp574
gene1200	Pou2f2
gene1201	LOC103691054
gene1202	Dedd2
gene1203	Zfp526
gene1204	Gsk3a
gene1205	Erf
gene1206	Cic
gene1207	Pafah1b3
gene1208	Prr19
gene1209	Tmem145
gene1210	Megf8
gene1211	Cnfn
gene1212	Lipe
gene1213	LOC102549501
gene1214	Cxcl17
gene1215	LOC102552028
gene1216	LOC102549342
gene1217	Ceacam1
gene1218	LOC102549282
gene1219	Erich4
gene1220	Atp5sl
gene1221	B3gnt8
gene1222	Bckdha
gene1223	Exosc5
gene1224	Tmem91
gene1225	B9d2
gene1226	Tgfb1
gene1227	Ccdc97
gene1228	Hnrnpul1
gene1229	Axl
gene1230	Cyp2s1
gene1231	LOC100359930
gene1232	Cyp2b1
gene1233	Cyp2b2
gene1234	Cyp2b3
gene1235	Eif4g2-ps2
gene1236	LOC103691092
gene1237	Cyp2b21
gene1238	Epc2l1
gene1239	LOC100360011
gene1240	Cyp2b15
gene1241	LOC103691072
gene1242	Cyp2g1
gene1243	LOC103691073
gene1244	Cyp2a3
gene1245	Cyp2a1
gene1246	Cyp2a2
gene1247	Sdccag1-ps1
gene1248	LOC365218
gene1249	Cyp2f4
gene1250	Cyp2t1
gene1251	Egln2
gene1252	Rab4b
gene1253	Mia
gene1254	Snrpa
gene1255	RGD1560854
gene1256	Itpkc
gene1257	Adck4
gene1258	Numbl
gene1259	LOC100909621
gene1260	Ltbp4
gene1261	Shkbp1
gene1262	Sptbn4
gene1263	Blvrb
gene1264	Sertad3
gene1265	Sertad1
gene1266	Prx
gene1267	LOC102552059
gene1268	Hipk4
gene1269	Pld3
gene1270	RGD1307554
gene1271	LOC102557046
gene1272	Akt2
gene1273	LOC103691074
gene1274	Ttc9b
gene1275	Map3k10
gene1276	LOC100909824
